code,qualification,crime_rate,cars_per_household,in_employment,number_of_housespace
E09000001,68.4,656.4,0.4,4555,"5,530"
E05000026,34.5,138.1,0.5,5444,"4,753"
E05000027,16.7,73.6,0.8,4143,"4,045"
E05000028,20.6,79.9,0.9,4598,"4,378"
E05000029,19.5,76.1,0.9,3819,"4,062"
E05000030,18.5,66.7,1.1,4592,"3,977"
E05000031,20,82.2,0.8,4546,"4,321"
E05000032,25.2,75.8,0.5,4382,"4,711"
E05000033,18.8,74.8,0.8,4544,"4,296"
E05000034,17.6,83.7,0.7,4043,"4,418"
E05000035,25,57,1.1,4894,"3,788"
E05000036,16.2,67.9,0.8,3978,"3,987"
E05000037,16,56.8,0.8,3785,"3,844"
E05000038,19.5,85,0.8,4420,"4,097"
E05000039,24.4,95.6,0.7,4081,"4,013"
E05000040,17.8,68.3,0.8,3873,"3,917"
E05000041,17.9,90.8,0.8,4242,"4,508"
E05000042,22.4,72.4,1,4617,"4,091"
E05000043,34.4,49.4,1.3,7603,"6,186"
E05000044,24.7,68.5,0.8,7674,"6,511"
E05000045,43.7,90.5,0.8,9309,"8,045"
E05000046,30.8,58.9,0.8,7344,"6,460"
E05000047,40.6,75.6,1,8630,"7,136"
E05000048,36.5,44,1.2,7566,"6,639"
E05000049,49.6,47.5,0.8,8153,"6,805"
E05000050,36,71.4,1.2,7259,"6,167"
E05000051,48.6,52,1.2,7386,"6,508"
E05000052,57.3,65.1,1.2,7373,"6,602"
E05000053,37.4,61.3,1,7635,"6,373"
E05000054,36.5,46.8,1.2,7828,"6,327"
E05000055,41.3,72.6,1,8381,"7,255"
E05000056,44.3,56.3,1.2,7421,"6,794"
E05000057,41.6,62.8,1.3,8329,"7,122"
E05000058,40.7,49.7,1.3,7486,"6,285"
E05000059,47,39.7,1.3,6849,"6,029"
E05000060,31.8,57.9,1.1,6874,"6,462"
E05000061,49.5,55.2,0.9,8583,"6,862"
E05000062,34.4,99.9,0.9,8051,"6,465"
E05000063,41.3,69.3,1,8568,"7,029"
E05000064,20.1,46.5,1.3,4958,"4,304"
E05000065,21.9,62,1,5439,"4,988"
E05000066,19.3,28.8,1.3,5157,"4,233"
E05000067,19.6,37.7,1.4,5336,"4,335"
E05000068,20.7,26.3,1.3,4995,"4,232"
E05000069,24.9,97.5,1.2,5368,"4,568"
E05000070,18.1,39.5,1.1,4951,"4,515"
E05000071,18.6,62.2,1.1,5236,"4,840"
E05000072,22.2,54.3,1.2,4952,"4,810"
E05000073,21.6,54,1.2,5217,"4,565"
E05000074,18.8,40.5,1.2,5028,"4,309"
E05000075,22.6,82.3,1,5266,"5,093"
E05000076,19.6,47.7,1.3,5362,"4,251"
E05000077,22.5,59.8,1.1,5023,"4,566"
E05000078,27.1,34.2,1.2,4882,"4,617"
E05000079,19.5,81.2,0.9,4584,"4,723"
E05000080,17.8,42.1,1.3,5016,"4,126"
E05000081,27,33.2,1.4,4934,"4,390"
E05000082,19.1,30,1.4,5423,"4,073"
E05000083,27.2,50.5,1.2,5150,"4,651"
E05000084,28.2,54.9,0.8,4997,"4,925"
E05000085,26.2,69.1,0.9,6753,"4,444"
E05000086,34.7,64.7,1,6768,"5,546"
E05000087,45,70.8,0.7,6646,"5,528"
E05000088,25.1,67.3,0.9,5254,"4,357"
E05000089,31.7,88.2,0.8,6936,"5,324"
E05000090,29,58.4,1.1,6015,"4,503"
E05000091,21.4,100.3,0.5,6738,"6,785"
E05000092,33.8,86.6,0.6,7330,"6,184"
E05000093,39.8,51.3,1.4,5637,"3,953"
E05000094,39.9,79.3,0.4,8518,"7,840"
E05000095,43.7,71.8,0.6,8290,"6,496"
E05000096,40.3,64.7,1.3,6055,"4,316"
E05000097,35.4,57.9,1,6964,"5,118"
E05000098,48.2,72.9,0.7,8501,"6,446"
E05000099,30.8,65,1.2,6945,"4,810"
E05000100,20.5,116,0.6,5789,"6,021"
E05000101,32.3,51.5,0.9,6931,"4,944"
E05000102,31.9,82.8,0.9,7164,"5,051"
E05000103,24.7,62.9,0.9,5999,"4,923"
E05000104,29,118.3,0.8,6963,"4,540"
E05000105,33.3,94.9,0.5,7834,"6,213"
E05000106,40.7,36.5,1.4,7004,"6,173"
E05000107,23,44.8,1.7,5104,"4,032"
E05000108,28.3,53,1.3,6930,"6,509"
E05000109,41,139,1,8832,"7,834"
E05000110,33.2,40.3,1.5,6957,"5,947"
E05000111,38,55.2,1.4,6732,"6,412"
E05000112,38.3,46,1,8308,"7,186"
E05000113,45,70.5,1,8569,"8,403"
E05000114,19.6,102.2,1,6623,"6,876"
E05000115,18.7,71.5,1.1,6947,"6,925"
E05000116,38.1,90,0.6,6215,"6,292"
E05000117,26.9,43.9,1.7,2293,"2,169"
E05000118,31,43,1.3,6412,"6,350"
E05000119,31.8,35,1.4,7529,"6,261"
E05000120,33.8,59.9,1.3,7470,"6,558"
E05000121,22.1,93,1,4313,"4,488"
E05000122,27.1,89.6,1.2,6648,"6,487"
E05000123,36.5,89.9,0.8,8475,"7,955"
E05000124,36,43,1.4,6258,"5,562"
E05000125,34.1,48.6,1,7283,"6,874"
E05000126,43.3,33.8,1.3,4629,"4,305"
E05000127,32.5,33.9,1.4,6917,"5,862"
E05000128,62.2,60.9,0.6,6670,"6,480"
E05000129,46.5,314.1,0.2,4639,"5,423"
E05000130,53.9,297,0.5,6413,"6,334"
E05000131,48.1,82.5,0.4,5731,"5,276"
E05000132,57.8,54.2,0.6,6598,"5,558"
E05000133,61.4,56.7,0.8,5692,"5,292"
E05000134,45.6,65.8,0.5,5031,"5,036"
E05000135,68.3,82.9,0.7,5750,"5,548"
E05000136,43.1,87.6,0.4,5401,"5,408"
E05000137,55.8,81,0.7,5163,"4,981"
E05000138,46.2,311,0.3,6266,"6,592"
E05000139,54.6,89,0.4,7131,"5,916"
E05000140,43.8,110.7,0.4,5745,"6,015"
E05000141,39.7,122.4,0.2,4277,"4,922"
E05000142,36.1,131.3,0.4,5474,"5,958"
E05000143,29.5,93.5,0.3,5173,"5,698"
E05000144,60.4,70,0.6,6710,"6,210"
E05000145,60.6,77.6,0.5,7259,"6,056"
E05000146,38,61,0.7,8956,"7,809"
E05000147,27.3,58.1,1.1,6863,"5,635"
E05000148,29.4,64.4,0.8,7344,"6,075"
E05000149,26.9,151.3,0.7,8096,"7,187"
E05000150,30.3,34.9,1.4,5534,"4,993"
E05000151,34.9,46.7,1.5,6565,"4,898"
E05000152,42.1,57.3,1,8417,"7,218"
E05000153,45.9,215.9,0.6,8567,"8,361"
E05000154,12.5,61.8,0.8,3947,"4,053"
E05000155,29.3,70.7,1.3,6385,"5,513"
E05000156,36.1,35.9,1.3,7217,"6,019"
E05000157,12.8,70,1,4273,"4,061"
E05000158,34.1,54.2,1,7506,"6,218"
E05000159,40.5,78.1,1.2,7086,"5,851"
E05000160,35,29.6,1.5,5928,"4,962"
E05000161,28.4,95.9,0.6,7821,"7,770"
E05000162,32,35.5,1.5,5821,"4,519"
E05000163,27.1,44.1,1.2,6476,"5,670"
E05000164,35,80,0.7,7805,"7,925"
E05000165,28.3,82,0.7,7275,"6,741"
E05000166,35.2,70.8,0.9,7616,"6,638"
E05000167,30.1,74.3,0.8,7964,"7,333"
E05000168,27.3,90.3,0.8,7397,"6,254"
E05000169,29,65,0.8,7821,"7,121"
E05000170,40.4,77.9,0.7,7576,"6,480"
E05000171,46.2,47.8,0.9,6625,"5,837"
E05000172,24.4,54,1,5600,"4,441"
E05000173,57.7,145.7,0.8,7745,"6,428"
E05000174,52.6,68.9,0.9,7687,"6,023"
E05000175,38.3,103.7,0.7,9269,"7,358"
E05000176,40.6,77.5,0.8,7500,"6,252"
E05000177,25.8,81.2,0.9,7668,"6,532"
E05000178,30.2,74.8,1.1,7003,"5,138"
E05000179,50.8,60.4,1,7640,"6,334"
E05000180,33.3,44.2,0.9,6644,"5,410"
E05000181,25.4,46.2,1.3,6368,"4,082"
E05000182,54.8,44.5,0.9,7455,"5,391"
E05000183,30.1,51.8,1.2,7263,"4,972"
E05000184,25.7,63.3,0.9,6724,"5,708"
E05000185,21.7,67.5,0.9,6057,"5,718"
E05000186,26.7,91.1,1.1,5521,"4,336"
E05000187,30.8,73.3,1.1,7544,"5,447"
E05000188,39.4,88.7,0.7,6938,"6,227"
E05000189,21.9,107.9,0.9,5425,"3,926"
E05000190,21.6,83.9,0.9,6042,"4,345"
E05000191,57.8,64.5,0.8,7601,"6,207"
E05000192,53.7,73.8,0.8,7364,"5,656"
E05000193,36.3,50.8,0.8,7292,"5,598"
E05000194,32.6,53.9,1.3,6585,"5,609"
E05000195,28.1,55.8,1.1,6180,"5,744"
E05000196,35,46.4,1.3,5885,"5,356"
E05000197,19.5,117.7,0.6,6144,"6,999"
E05000198,18.6,82.4,1,6112,"5,943"
E05000199,23.5,69.2,0.9,6586,"6,422"
E05000200,39.1,59.4,1.3,6045,"5,396"
E05000201,21.4,61.1,0.8,6292,"5,927"
E05000202,35.1,40.4,1.2,6120,"5,696"
E05000203,20.9,58.8,1,5744,"5,420"
E05000204,20,56.2,0.7,6057,"6,179"
E05000205,33.5,70.3,1,7225,"5,898"
E05000206,21,80.6,0.8,5902,"5,787"
E05000207,25.4,98.8,0.9,6183,"5,650"
E05000208,41.2,62.6,1.1,6886,"6,065"
E05000209,40,43.2,1.1,6464,"5,244"
E05000210,33,50.3,1.2,7349,"6,233"
E05000211,17.9,74.5,1,5507,"5,467"
E05000212,21.5,120.2,0.8,6599,"6,318"
E05000213,42.9,43.7,1.2,6715,"5,470"
E05000214,24.2,77.6,0.7,6347,"6,053"
E05000215,57.5,76.6,0.8,6675,"6,380"
E05000216,37.2,60.7,0.7,6572,"5,869"
E05000217,23.4,58.1,1.1,5957,"5,231"
E05000218,31.8,67.2,1.1,6087,"5,249"
E05000219,25.1,75.9,1,5537,"5,224"
E05000220,21.2,59.9,0.9,4374,"3,859"
E05000221,28.6,60.9,0.6,7961,"6,881"
E05000222,49.9,104,0.6,8485,"7,359"
E05000223,30.8,70.3,0.9,6525,"5,968"
E05000224,29.6,64.4,0.9,5652,"5,693"
E05000225,49.5,107.6,0.6,7798,"6,436"
E05000226,25.2,78.7,0.7,7282,"6,047"
E05000227,31.3,46.3,1,6242,"5,487"
E05000228,32.4,70.5,0.7,8273,"7,034"
E05000229,26.7,103,0.6,7113,"6,696"
E05000230,35.2,112.8,0.5,8681,"8,361"
E05000231,51.7,87.3,0.4,6334,"5,203"
E05000232,35.6,49.7,0.4,5744,"4,860"
E05000233,37.6,115.3,0.4,5930,"5,732"
E05000234,53.5,75.4,0.5,6683,"5,316"
E05000235,48.6,158.6,0.4,8021,"6,608"
E05000236,49.8,147.9,0.4,7456,"6,138"
E05000237,42,114.6,0.3,6240,"5,618"
E05000238,42.2,80,0.4,6214,"5,641"
E05000239,45.8,162.3,0.3,7346,"6,377"
E05000240,41.7,127.2,0.3,7412,"6,868"
E05000241,30.6,68,0.5,4166,"4,290"
E05000242,41.5,79.9,0.5,6620,"5,688"
E05000243,40.4,66.5,0.5,5089,"4,696"
E05000244,26.6,63.1,0.4,4631,"4,809"
E05000245,44.6,116.8,0.4,6868,"6,012"
E05000246,21.9,73.7,0.4,3994,"4,451"
E05000247,52.4,93.3,0.4,7032,"5,422"
E05000248,41.8,93,0.4,6251,"5,723"
E05000249,34.4,99.8,0.5,4949,"4,904"
E05000250,57.4,107.4,0.5,6873,"5,743"
E05000251,45.1,75.4,0.5,7621,"6,470"
E05000252,54.5,70.5,0.5,6573,"6,128"
E05000253,31.9,115.7,0.4,4075,"3,805"
E05000254,47.7,95.2,0.5,6064,"5,286"
E05000255,51.6,98.6,0.5,6331,"5,067"
E05000256,45.3,224.9,0.5,6161,"5,461"
E05000257,56.9,64.5,0.7,6462,"5,052"
E05000258,52.6,64.6,0.4,6805,"5,745"
E05000259,56.2,90.8,0.9,3720,"3,430"
E05000260,56.4,124.8,0.8,5716,"4,953"
E05000261,55.1,101.1,0.6,5531,"5,005"
E05000262,47.6,69.6,0.6,6518,"5,958"
E05000263,46.5,281.4,0.4,6797,"5,774"
E05000264,57.9,100.7,0.6,6512,"5,211"
E05000265,32,71.9,0.5,5694,"5,126"
E05000266,58.5,63.6,1,6189,"4,695"
E05000267,37.3,82,0.6,6822,"5,917"
E05000268,27.6,85.2,0.5,6192,"5,912"
E05000269,67,67.3,0.7,7537,"5,980"
E05000270,58.4,57.9,0.9,6423,"5,289"
E05000271,46.6,89.5,0.5,7404,"6,044"
E05000272,65.7,56.6,0.8,6704,"5,481"
E05000273,51.5,67.2,0.6,6753,"5,851"
E05000274,62.8,71.7,0.9,5922,"4,622"
E05000275,33.8,200.7,0.5,6382,"5,651"
E05000276,20.2,130.5,0.5,4914,"5,908"
E05000277,35.2,71,0.5,7038,"5,593"
E05000278,29,80,0.5,6671,"5,876"
E05000279,60.5,54,0.6,6982,"5,606"
E05000280,29.2,134.5,0.4,6379,"6,141"
E05000281,23.1,103.7,0.5,5816,"5,546"
E05000282,30.6,80.4,0.5,5989,"5,406"
E05000283,20.7,82.1,0.6,4726,"4,906"
E05000284,32.9,84.2,0.6,6992,"5,675"
E05000285,36.4,35.3,1.5,5355,"3,736"
E05000286,40.8,42.1,1.3,5566,"5,048"
E05000287,29.4,52.6,1.1,5458,"3,804"
E05000288,46,129.9,0.8,6427,"5,135"
E05000289,41.8,57.3,1,5651,"4,791"
E05000290,32.3,47,1.3,4964,"4,285"
E05000291,41.8,41.5,1.4,4812,"4,108"
E05000292,43.6,40.9,1.4,4873,"3,651"
E05000293,43,39.7,1.1,5406,"4,154"
E05000294,27.6,33.5,1.2,5251,"3,515"
E05000295,34.1,40,1.4,5430,"3,450"
E05000296,35.5,60.9,0.9,5758,"4,422"
E05000297,44.3,44.7,1.3,4466,"4,210"
E05000298,47.5,24.5,1.4,4833,"4,011"
E05000299,30.5,37.4,1.2,5490,"3,709"
E05000300,37.9,33.5,1.3,5206,"3,762"
E05000301,29.2,53.1,1,5469,"4,627"
E05000302,28.9,64.1,1.2,5288,"3,892"
E05000303,35.3,53.3,1.4,4637,"4,541"
E05000304,27.2,54.5,1,4869,"4,020"
E05000305,40.7,31.2,1.1,4949,"3,796"
E05000306,21.3,71.9,1,7118,"6,234"
E05000307,23.3,32.3,1.3,5608,"5,275"
E05000308,16.5,39.4,1.1,5738,"5,205"
E05000309,24.3,36.3,1.6,5549,"4,690"
E05000310,13.2,79.9,1,5909,"6,100"
E05000311,17.9,26.1,1.3,5919,"5,052"
E05000312,20.6,67.8,1.2,5946,"5,628"
E05000313,15.3,45.7,1.3,5645,"5,181"
E05000314,13.7,68.2,1,4946,"5,395"
E05000315,19.2,55.8,1.4,6483,"5,075"
E05000316,16.3,52.2,1.2,5907,"5,381"
E05000317,19.9,40.8,1.4,6030,"5,239"
E05000318,14.9,74.1,1.3,5738,"5,092"
E05000319,26.3,167.9,0.9,8096,"7,398"
E05000320,18.9,65.2,1.2,6366,"5,833"
E05000321,14,56.7,1.2,5953,"5,594"
E05000322,24.3,40.8,1.3,6722,"5,701"
E05000323,27.9,49.7,1.4,5951,"5,217"
E05000324,22.4,81.6,1.2,5775,"4,431"
E05000325,21.4,96.5,1.1,6346,"5,085"
E05000326,23.6,96.8,1.1,5848,"4,620"
E05000327,29.9,33.8,1.4,5755,"4,539"
E05000328,21.1,52.6,1.3,5794,"4,487"
E05000329,38.1,41.9,1.5,5804,"4,875"
E05000330,25,64.3,1.4,3571,"3,132"
E05000331,24.2,272.2,1.1,6107,"4,704"
E05000332,24.2,55.8,1.3,6074,"4,661"
E05000333,36,33.2,1.6,4884,"4,059"
E05000334,29.6,38.8,1.3,5903,"4,635"
E05000335,46.4,46.3,1.3,4860,"4,924"
E05000336,37.1,53.9,1.3,5475,"4,847"
E05000337,22.8,73.6,1.2,6417,"4,737"
E05000338,27.3,64.8,1.2,6448,"4,802"
E05000339,22.2,131.2,1,5977,"4,756"
E05000340,34.9,100.6,1.3,5903,"5,132"
E05000341,29.9,103.3,1,6133,"5,119"
E05000342,24,81.5,1.1,6519,"5,613"
E05000343,33.9,65.4,1.3,5421,"4,798"
E05000344,26,76.4,1.1,5981,"4,853"
E05000345,23.1,110.1,1,6051,"5,181"
E05000346,20.2,65,1.1,6105,"5,046"
E05000347,35.3,80,0.8,7043,"6,116"
E05000348,55.7,83.5,0.9,6077,"5,051"
E05000349,56,62.2,1,6201,"5,289"
E05000350,26.2,74.4,1,5548,"4,006"
E05000351,21.1,77.4,1.1,5500,"4,310"
E05000352,25,69.8,1,7666,"5,895"
E05000353,19.2,72.9,1,5265,"4,733"
E05000354,22.2,70.5,1.1,5614,"4,576"
E05000355,32,53,1.1,5584,"3,936"
