code,qualification,crime_rate,cars_per_household,in_employment,number_of_housespace
E05000356,33.4,63.3,1.2,5745,"4,065"
E05000357,24.4,100.3,1.1,5161,"4,071"
E05000358,42.8,166.8,0.7,7795,"5,519"
E05000359,34.6,64,0.9,6878,"5,029"
E05000360,32.9,41.4,1.3,5767,"4,008"
E05000361,33.5,92.1,0.9,6288,"4,023"
E05000362,33.8,69.5,0.9,5827,"4,987"
E05000363,45.9,73.2,1.2,6844,"4,897"
E05000364,38.9,82.2,0.9,7063,"5,982"
E05000365,55.4,95,0.8,6354,"5,735"
E05000366,51.5,131.4,0.5,6292,"5,893"
E05000367,45.2,179.7,0.3,6889,"7,366"
E05000368,39.1,138.8,0.4,6494,"6,407"
E05000369,47.3,80.2,0.4,6103,"5,875"
E05000370,47.9,154.3,0.4,5721,"5,733"
E05000371,41.8,161.3,0.3,6862,"6,493"
E05000372,58.8,98.2,0.5,6350,"5,391"
E05000373,56.3,88.5,0.4,8745,"7,376"
E05000374,43.7,74,0.5,5560,"5,209"
E05000375,43.3,83.3,0.4,7305,"6,912"
E05000376,46.9,115.5,0.4,6085,"5,882"
E05000377,48.8,92.3,0.4,6556,"6,064"
E05000378,48.3,76.5,0.5,6282,"5,627"
E05000379,54.4,192.2,0.4,6476,"5,959"
E05000380,53,127.1,0.4,6277,"5,740"
E05000381,45.2,86.4,0.4,6770,"6,269"
E05000382,59.2,83.2,0.6,4823,"5,399"
E05000383,57.4,185.5,0.6,4465,"5,840"
E05000384,62.4,124.7,0.7,4206,"4,550"
E05000385,48.6,172.2,0.4,4457,"4,701"
E05000386,58.7,109,0.5,4535,"5,105"
E05000387,41.2,89.5,0.5,3470,"4,230"
E05000388,53.3,110.4,0.4,4973,"5,207"
E05000389,32.1,130.9,0.4,3768,"4,174"
E05000390,55.1,188.3,0.6,4424,"6,553"
E05000391,58.8,70.8,0.7,4586,"4,986"
E05000392,51.2,97.2,0.6,3961,"4,408"
E05000393,37.2,99.3,0.5,4036,"4,237"
E05000394,60.8,177.9,0.5,4288,"4,418"
E05000395,61.7,88,0.6,4971,"5,645"
E05000396,60.5,80.1,0.6,5131,"5,202"
E05000397,56.1,117.9,0.8,3539,"4,166"
E05000398,35.5,114.8,0.5,4126,"4,356"
E05000399,56.1,118.7,0.7,4239,"4,528"
E05000400,32.7,34.7,1.4,4464,"3,443"
E05000401,48.4,31.6,1,4813,"4,447"
E05000402,41.7,64.5,1,4807,"4,047"
E05000403,54.4,38.4,0.9,6529,"5,317"
E05000404,22.8,43.9,1.3,4334,"3,430"
E05000405,25.3,47.5,1.4,5291,"4,112"
E05000406,44.5,47.8,1.3,4458,"3,838"
E05000407,47.4,26.2,1.2,4619,"3,700"
E05000408,47,268.5,0.8,5683,"5,094"
E05000409,35.8,62.4,0.8,4973,"4,162"
E05000410,34.4,29.6,1.4,4501,"3,645"
E05000411,38,33.8,1.3,4061,"3,392"
E05000412,48.3,49.7,0.9,5872,"4,608"
E05000413,52.2,29.6,1,5705,"4,776"
E05000414,30,53.7,1.2,4993,"3,836"
E05000415,51.3,33.1,1.2,4674,"3,846"
E05000416,47.2,243.6,0.4,5119,"4,927"
E05000417,49.6,91.5,0.5,9214,"6,947"
E05000418,63.3,85.6,0.7,8007,"5,525"
E05000419,59.7,142.5,0.5,8628,"6,348"
E05000420,36.8,180.9,0.4,7874,"7,273"
E05000421,52.9,145.6,0.4,9406,"6,710"
E05000422,39.3,79.6,0.6,6633,"6,102"
E05000423,52,92.4,0.5,8459,"6,688"
E05000424,38.2,74.6,0.6,6876,"6,249"
E05000425,48.5,92.8,0.4,9777,"7,304"
E05000426,51.6,127.4,0.4,8847,"7,343"
E05000427,46.5,119.3,0.4,7480,"7,118"
E05000428,46.3,104,0.6,8292,"6,549"
E05000429,41,83.7,0.4,7863,"6,582"
E05000430,46.4,76.9,0.6,7798,"6,220"
E05000431,34.8,74.9,0.8,6900,"5,556"
E05000432,42.6,72.7,0.6,8008,"6,588"
E05000433,47.8,55.2,0.6,6647,"5,131"
E05000434,50.3,73.2,0.7,7074,"6,023"
E05000435,42.7,80.3,0.5,8054,"6,758"
E05000436,41.3,81,0.4,7157,"6,290"
E05000437,23.5,94,0.7,6198,"6,178"
E05000438,53.2,83.9,0.7,7360,"6,571"
E05000439,47.3,78.8,0.5,9571,"7,595"
E05000440,34.2,44.8,0.9,7172,"5,801"
E05000441,45.1,58.4,0.7,7876,"6,411"
E05000442,20.2,78.9,0.7,5793,"6,151"
E05000443,33.5,69.6,0.4,7482,"7,043"
E05000444,46.4,69.9,0.7,7528,"6,661"
E05000445,29.2,50.6,0.9,6764,"6,325"
E05000446,44.5,55,0.7,7447,"5,869"
E05000447,46.1,60.9,0.7,7639,"6,480"
E05000448,42,134.9,0.5,8895,"7,940"
E05000449,34.7,108.5,0.5,7520,"6,719"
E05000450,41.5,54.6,0.7,7946,"6,858"
E05000451,32.9,118.7,0.6,6818,"6,378"
E05000452,36.6,73.2,0.7,7327,"6,971"
E05000453,43.7,51.1,0.6,8512,"7,020"
E05000454,22.7,70.4,0.8,5802,"5,646"
E05000455,55.4,71.6,0.7,6284,"4,700"
E05000456,35.2,35.4,1.2,4665,"3,529"
E05000457,43.1,79.1,0.7,6385,"4,538"
E05000458,23.3,78.5,0.7,4967,"4,402"
E05000459,60.7,60.4,0.8,5683,"4,109"
E05000460,25.3,78.8,0.8,5036,"4,363"
E05000461,32.1,55.6,0.9,4981,"3,639"
E05000462,64.6,56.7,0.8,5194,"4,520"
E05000463,32.6,57.9,0.8,5393,"4,107"
E05000464,27.5,50.9,1,4737,"3,817"
E05000465,24.5,33.1,1.3,4660,"3,507"
E05000466,50.1,54.8,1,4702,"3,769"
E05000467,23.4,60.2,1,4560,"3,786"
E05000468,25.1,63.7,0.9,4489,"3,864"
E05000469,54.3,43.9,1,5072,"4,325"
E05000470,23.4,51.4,0.9,4703,"4,040"
E05000471,59.6,83.9,0.8,5925,"4,395"
E05000472,62.3,52.2,1.4,3730,"3,670"
E05000473,41.9,49.6,1.1,4990,"3,711"
E05000474,59.6,42.2,1,6198,"4,419"
E05000475,27.9,125.2,0.7,6682,"5,468"
E05000476,28.8,69.8,0.6,6291,"4,968"
E05000477,23.9,93.9,0.5,6103,"5,569"
E05000478,33.3,64.8,0.5,7403,"6,569"
E05000479,24.2,108.1,0.7,5839,"4,909"
E05000480,32.6,111.8,0.6,6503,"4,717"
E05000481,31.1,54.7,0.7,5482,"3,711"
E05000482,24.1,67.1,0.7,5952,"5,096"
E05000483,33,64.7,0.6,7545,"5,840"
E05000484,32.7,87.9,0.6,7985,"5,898"
E05000485,30,60.1,0.6,6341,"4,327"
E05000486,29.8,71.2,0.7,5873,"4,161"
E05000487,24.6,75.6,0.6,5774,"5,180"
E05000488,30.2,66.8,0.7,5936,"4,675"
E05000489,26.8,61.9,0.5,6260,"5,206"
E05000490,26.2,92,0.6,6921,"5,532"
E05000491,42.7,71.5,0.7,5750,"4,482"
E05000492,40.6,240.9,0.4,9665,"7,567"
E05000493,29.6,46.6,0.7,5786,"4,222"
E05000494,29.8,58.8,0.5,7002,"5,520"
E05000495,32,66.3,1.1,6327,"5,121"
E05000496,35.2,50.5,1.2,5513,"4,427"
E05000497,29.9,58.6,1.1,5683,"4,854"
E05000498,28.5,54.5,1,6343,"5,256"
E05000499,46.3,61,1.1,6381,"5,130"
E05000500,34,54,1.4,5723,"4,181"
E05000501,32.4,136.7,0.8,5459,"4,586"
E05000502,37.2,73,1.2,5349,"4,121"
E05000503,25.5,57.7,1.2,5906,"5,094"
E05000504,26.5,55.4,1.2,5407,"4,882"
E05000505,31.4,70.3,1,5407,"4,242"
E05000506,20.4,60.4,1,5304,"5,398"
E05000507,31.1,86.2,0.7,5618,"5,223"
E05000508,29.9,52.5,1.2,5561,"4,346"
E05000509,41.6,48.1,1.4,4950,"4,430"
E05000510,33.4,54.9,1.1,6931,"5,376"
E05000511,37,50.3,1.1,5951,"4,808"
E05000512,31.7,87.3,1,6066,"4,864"
E05000513,50.1,51.8,1,6214,"5,599"
E05000514,36.9,104.5,0.8,5758,"4,935"
E05000515,45.3,71.8,1.1,5688,"4,702"
E05000516,57.5,55.7,1,4839,"4,566"
E05000517,61.6,48.7,1.1,5108,"4,294"
E05000518,52.8,44.7,1.1,5350,"4,365"
E05000519,46,56,1,4857,"4,614"
E05000520,47.2,49.7,1.2,4999,"4,329"
E05000521,36.3,47.9,1.2,4482,"4,184"
E05000522,53.6,46.2,1.1,4950,"4,719"
E05000523,29.8,55.3,1.2,4752,"3,996"
E05000524,62,56.7,1,5807,"5,221"
E05000525,57.6,64.1,0.9,5800,"5,104"
E05000526,59,58.6,0.9,5695,"4,943"
E05000527,62.6,58.3,1.1,6200,"4,744"
E05000528,63.6,110.7,0.9,5715,"5,476"
E05000529,55.3,35.3,1.1,5458,"4,153"
E05000530,58.5,46.4,1.1,5564,"4,792"
E05000531,63.8,66.7,0.9,5916,"5,057"
E05000532,45.1,55.2,1.1,5568,"4,366"
E05000533,36.9,49.6,1.2,4802,"3,904"
E05000534,41.5,104.8,0.5,6446,"5,365"
E05000535,34.3,111.2,0.4,6937,"6,264"
E05000536,45.8,184.9,0.4,7697,"6,528"
E05000537,48.8,114.4,0.4,8056,"6,439"
E05000538,48.7,73.3,0.8,5705,"5,157"
E05000539,56.5,60.3,0.7,7196,"5,503"
E05000540,32.4,159.3,0.4,5291,"4,807"
E05000541,28.6,97.4,0.4,5581,"5,097"
E05000542,46.3,106.2,0.4,8428,"7,442"
E05000543,27.9,98.2,0.4,5742,"5,612"
E05000544,37.5,110.4,0.4,6957,"6,481"
E05000545,34.8,68.7,0.5,6328,"5,748"
E05000546,30.6,95.7,0.5,6258,"5,536"
E05000547,49.7,56.5,0.7,7263,"5,835"
E05000548,54.9,101.9,0.5,8745,"7,585"
E05000549,43,97.5,0.5,7175,"6,173"
E05000550,30.9,103.3,0.5,6452,"5,808"
E05000551,49,52.2,0.6,6543,"5,213"
E05000552,56,53.7,0.6,8567,"6,298"
E05000553,42,138.1,0.5,7623,"6,543"
E05000554,63.7,57.5,1,6258,"4,733"
E05000555,25.1,59.6,1.3,5250,"4,103"
E05000556,26.7,52.9,1.3,4718,"4,201"
E05000557,40.4,35.6,1.2,5042,"4,475"
E05000558,35.7,44.4,1.2,5302,"4,260"
E05000559,34.8,34.1,1.5,4741,"3,614"
E05000560,38.6,33.9,1.5,4749,"4,005"
E05000561,27.1,44.4,1.4,5402,"4,061"
E05000562,17.7,71.9,1,5418,"4,625"
E05000563,22.5,48.5,1.4,5420,"3,988"
E05000564,31.2,158.4,0.8,5793,"5,335"
E05000565,25.7,46.1,1.1,4959,"4,222"
E05000566,41.6,42.5,0.9,5073,"5,077"
E05000567,38.6,33.8,1.1,5686,"4,817"
E05000568,23.2,61.4,1.1,5289,"4,231"
E05000569,30.3,50.6,1.1,5531,"4,749"
E05000570,32,50.5,1.1,4886,"4,626"
E05000571,21.5,65.6,1,5601,"4,802"
E05000572,30.8,44.6,1.2,6052,"4,751"
E05000573,40.2,119,0.4,6580,"5,450"
E05000574,35.5,121.3,0.3,5934,"5,417"
E05000575,50.8,60.3,0.5,10684,"9,389"
E05000576,42,98.9,0.4,7655,"6,901"
E05000577,43.6,98.5,0.5,6262,"5,127"
E05000578,27.9,79.3,0.4,5386,"5,257"
E05000579,23.4,108.4,0.4,5124,"5,422"
E05000580,37.4,88.8,0.5,7314,"6,599"
E05000581,34.2,86.6,0.4,6271,"5,431"
E05000582,31.9,87.3,0.4,5276,"4,856"
E05000583,57.2,74.4,0.5,13759,"12,035"
E05000584,29.9,78.5,0.4,6098,"5,843"
E05000585,57.8,96,0.6,7619,"6,437"
E05000586,37.7,86.9,0.4,6534,"6,075"
E05000587,44.4,188.8,0.3,5055,"4,123"
E05000588,43.9,136.8,0.3,6693,"5,696"
E05000589,45,105.3,0.3,7530,"6,078"
E05000590,30.5,61.2,0.6,6265,"5,094"
E05000591,28.6,64.2,0.5,5715,"4,634"
E05000592,29.3,73,0.9,6595,"5,184"
E05000593,27.1,69,1.1,4570,"4,570"
E05000594,24.7,43.9,1.3,4871,"4,272"
E05000595,33.3,81.6,0.8,5861,"4,448"
E05000596,34.8,52.4,0.6,7587,"5,332"
E05000597,28.9,52.1,1.1,5319,"4,286"
E05000598,24.1,64.4,1.1,4914,"4,597"
E05000599,35.7,151.3,0.6,7146,"5,623"
E05000600,24.7,67.7,0.7,5608,"4,947"
E05000601,36.4,87.4,0.6,6453,"5,509"
E05000602,21.6,61.8,1.1,5104,"4,547"
E05000603,26.6,98.4,0.6,6671,"5,726"
E05000604,28.5,88.2,0.6,5956,"5,303"
E05000605,40.8,89.8,0.7,6887,"4,980"
E05000606,30.9,72.3,0.6,6044,"4,980"
E05000607,20.2,104.1,1.1,5100,"4,342"
E05000608,33.6,55.6,0.6,6291,"5,043"
E05000609,33,74,0.7,5974,"5,332"
E05000610,67.6,78,0.7,9369,"6,531"
E05000611,61.1,53.7,0.7,9077,"6,698"
E05000612,53.8,66.1,0.7,9556,"6,860"
E05000613,62.9,42.6,0.7,9292,"7,246"
E05000614,62.8,83.6,0.7,9882,"6,993"
E05000615,41,58.6,0.7,7450,"6,280"
E05000616,44.9,100.2,0.6,8095,"6,358"
E05000617,40.7,74.6,0.4,7869,"6,946"
E05000618,63,64.5,0.7,8864,"6,556"
E05000619,68.7,101.6,0.8,9397,"6,488"
E05000620,50,74.8,0.5,9607,"8,377"
E05000621,27.3,83.5,0.6,6856,"6,075"
E05000622,52.1,76.6,0.7,9696,"8,284"
E05000623,61.7,79.8,0.6,9354,"6,649"
E05000624,57.6,69.4,0.7,9716,"7,203"
E05000625,68.6,96.2,0.8,9409,"6,851"
E05000626,42.5,77.6,0.6,8038,"6,264"
E05000627,53.9,58.8,1,7925,"5,787"
E05000628,45.1,38,0.8,8595,"6,902"
E05000629,48.7,51.3,0.8,7376,"6,549"
E05000630,56.6,45.8,0.7,5233,"5,805"
E05000631,61.3,106.3,0.4,5977,"5,848"
E05000632,58,170.5,0.4,6295,"7,492"
E05000633,38.4,107.6,0.4,4085,"4,997"
E05000634,26.4,80.9,0.3,3744,"4,866"
E05000635,39.5,67.1,0.4,5533,"5,571"
E05000636,54.7,152.6,0.5,6014,"7,624"
E05000637,47.8,177.1,0.9,3947,"5,438"
E05000638,60.8,150.4,0.4,7523,"7,602"
E05000639,56.5,74.8,0.6,5384,"5,357"
E05000640,52.2,59,0.5,5243,"4,661"
E05000641,61.5,302.4,0.5,5902,"6,527"
E05000642,30.3,62.2,0.4,5088,"5,302"
E05000643,52.2,66.6,0.6,5153,"6,913"
E05000644,49.9,990,0.4,5879,"6,579"
E05000645,55.1,57.7,0.4,4531,"5,200"
E05000646,53.1,82.4,0.4,5023,"5,714"
E05000647,58.5,138.1,0.5,5388,"5,472"
E05000648,35.7,75.5,0.4,5173,"5,471"
E05000649,54.6,1212.1,0.4,6124,"7,627"
E09000001,68.4,656.4,0.4,4555,"5,530"
E09000002,20.9,82.9,0.8,74001,"71,206"
E09000003,40.3,61.6,1.1,164302,"140,062"
E09000004,21.8,50,1.2,107274,"95,114"
E09000005,33.3,77.1,0.8,144030,"113,342"
E09000006,33.1,61.2,1.2,146448,"135,460"
E09000007,50.5,124.7,0.5,105123,"102,703"
E09000008,31.8,75.7,1,168680,"148,824"
E09000009,37,75.6,0.9,161259,"128,248"
E09000010,28.7,70.6,1,133872,"122,421"
E09000011,33.2,74.4,0.8,115561,"103,827"
E09000012,41.8,101.1,0.4,116980,"104,356"
E09000013,49.6,106.2,0.5,97453,"84,214"
E09000014,40.8,83.8,0.6,121835,"106,099"
E09000015,36.8,50.3,1.2,110158,"86,667"
E09000016,19.4,62.5,1.2,109624,"99,290"
E09000017,28,67.2,1.2,127046,"103,990"
E09000018,34.6,75,1,124325,"97,274"
E09000019,48.1,114.1,0.4,104767,"98,196"
E09000020,52.7,115.5,0.6,77998,"87,705"
E09000021,41.4,55.7,1.1,79777,"65,693"
E09000022,46.6,104.8,0.5,164113,"134,231"
E09000023,38,78,0.7,133650,"118,617"
E09000024,41.1,57.1,0.9,102354,"81,210"
E09000025,30.1,91,0.6,131093,"103,617"
E09000026,33.9,69.5,1.1,121539,"101,575"
E09000027,53,55,1.1,95862,"82,827"
E09000028,43.1,104.5,0.5,145248,"124,167"
E09000029,30.1,53.1,1.2,94912,"79,942"
E09000030,41,99.5,0.4,119774,"106,136"
E09000031,30,83.1,0.8,118931,"98,749"
E09000032,53.6,71.6,0.7,175423,"135,897"
E09000033,50.3,238.3,0.5,107239,"120,066"
E12000007,37.7,83.3,0.8,3905206,"3,387,255"
E92000001,27.2,66.9,1.1,24425633,"24,429,618"